track_id,track_name,artists,album,danceability,loudness,acousticness,liveness,valence,tempo
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),"Eminem, Joyner Lucas",Kamikaze,0.876,-4.884,0.0627,0.127,0.575,153.068
5ZtfujhQIVRZm2RMZPQ3iD,Only You,Selena Gomez,13 Reasons Why (A Netflix Original Series Soundtrack),0.467,-9.271,0.648,0.128,0.218,97.132
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),0.351,-10.109,0.934,0.095,0.12,115.284
1gV0hgMNdpSWeW7ZjSUKnX,Afterhours feat. Diplo & Nina Sky,"TroyBoi, Diplo, Nina Sky",Afterhours feat. Diplo & Nina Sky,0.74,-3.828,0.089,0.0837,0.357,91.026
2iptAVf9jZerlywLwiGhak,Fallen Angel,Three Days Grace,Human,0.453,-3.775,0.00554,0.0627,0.218,137.011
1lusH0zFDRV1ThaFYsUgfi,Affection,Cigarettes After Sex,Affection,0.403,-11.252,0.5,0.105,0.251,89.966
3SZLtkoHoECHHuOnNkNCuS,All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,0.436,-6.106,0.0102,0.198,0.24,150.066
7MXlRIl901aXfJ2oSGn0E2,Into The Black,Chromatics,Kill For Love,0.61,-8.764,0.96,0.0782,0.128,108.967
5k6ioThKIxeklkIt3MNJjC,Balenciaga,Cheat Codes,Balenciaga,0.683,-5.531,0.064,0.076,0.241,125.977
58QhkbaAkLFnn7JwAnAato,Fall,Eminem,Kamikaze,0.83,-5.716,0.227,0.112,0.535,182.973
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,0.88,-8.28,0.149,0.114,0.333,100.007
6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,Gold,0.6,-9.343,0.615,0.134,0.408,113.049
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,0.612,-2.81,0.0495,0.101,0.398,124.053
4OQfIweaFWNTT5NkJ04txq,Titanium,"David Guetta, Sia",Now That's What I Call Music 2012-13,0.585,-4.969,0.0703,0.13,0.247,126.071
0WqqFajBwA3tpRZ66kRomu,Sleepover,Hayley Kiyoko,Expectations,0.537,-7.222,0.142,0.12,0.547,152.996
4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower,Rex Orange County,Sunflower,0.384,-4.463,0.646,0.522,0.567,129.903
3aLWuWKHaTV4Ok7LKvXRYn,Let Me Hold You (Turn Me On),"Cheat Codes, Dante Klein",Let Me Hold You (Turn Me On),0.681,-3.167,0.0992,0.35,0.267,102.924
3BYyBzKGPOCHeginhe0F77,Never Be Alone,Shawn Mendes,Handwritten,0.376,-6.927,0.514,0.0781,0.276,199.835
3u5bTqHMM1P34ZkbwzdckV,The Story Never Ends,Lauv,I met you when I was 18. (the playlist),0.614,-9.403,0.911,0.148,0.351,119.945
2s5HFb7W5zXq6i7HXHxvcB,Grind Me Down,Lilianna Wilde,Bad for You,0.607,-8.954,0.706,0.157,0.421,166.009
4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),0.601,-4.856,0.0945,0.12,0.508,102.061
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,Narrated For You,0.652,-5.714,0.74,0.124,0.483,150.073
5hwh37sTi84MVhCBMWzhGE,Superficial Love,Ruth B.,The Intro,0.477,-9.162,0.928,0.0818,0.488,43.509
5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,One Direction,Made In The A.M. (Deluxe Edition),0.565,-9.132,0.781,0.0998,0.307,75.055
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,Jeremy Zucker,glisten,0.773,-8.281,0.836,0.544,0.707,103.861
5Ihd9HrPvOADyVoonH9ZjB,Un-Break My Heart,Toni Braxton,Secrets,0.625,-8.4,0.412,0.116,0.112,110.021
05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,I Won't Give Up,0.585,-10.058,0.694,0.115,0.142,136.703
4DRBaZ760gyk7LWnaJFqsJ,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),0.49,-5.549,0.386,0.311,0.866,130.726
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),0.692,-7.316,0.676,0.259,0.475,81.308
1wKWgSrVgaSyxJARfld0Yu,Closing Time,Semisonic,20 #1’s: Alternative Rock,0.482,-5.423,0.0225,0.124,0.251,92.24
0MKqeOVdZcUFGJvWpGCKbG,Come Together - Remastered,The Beatles,Abbey Road (Remastered),0.533,-11.913,0.0302,0.0926,0.187,165.007
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),0.414,-9.928,0.271,0.3,0.224,71.105
3Q3ICXEHo0xKV06WPNt8Wq,Take On Me,a-ha,50 Retro Songs To Hear While You're Still Alive,0.483,-6.161,0.00876,0.103,0.825,169.051
7JrUo70YjhU4S7flcJtK0k,Wonderwall,Oasis,[What's The Story] Morning Glory,0.412,-5.625,0.00212,0.13,0.486,174.428
2AT8iROs4FQueDv2c8q2KE,R U Mine?,Arctic Monkeys,AM,0.288,-5.692,0.00616,0.303,0.619,97.094
3HfHBnADHAKPW9xhhLnKtg,Giving Up,Whitney,Forever Turned Around,0.643,-7.274,0.597,0.109,0.166,90.642
2hIsd0F6ZGfHCC1xa7vSad,Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,0.378,-8.843,0.479,0.131,0.285,75.927
2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major,A Song For Every Moon,0.772,-8.545,0.491,0.144,0.357,118.902
4r9hiElqKWMPT4Z3vN2exq,A Lovely Night,"Ryan Gosling, Emma Stone",La La Land (Original Motion Picture Soundtrack),0.364,-8.645,0.299,0.124,0.493,134.551
6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Cover Me In Sunshine,0.476,-6.879,0.0599,0.0785,0.314,159.702
6J2LdBN97cDWn0MLxYh9HB,July,Noah Cyrus,THE END OF EVERYTHING,0.708,-8.953,0.868,0.0779,0.322,72.541
7gGBgh0bVxHPgZjA505bo9,Break My Heart Again,FINNEAS,Blood Harmony (Deluxe),0.402,-14.228,0.907,0.0941,0.489,144.069
2CSrG5fnBpcdfPXg7sJUBi,The Book of You & I,Alec Benjamin,These Two Windows,0.507,-6.237,0.909,0.113,0.485,102.987
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),0.591,-5.484,0.0383,0.103,0.478,169.928
0RbW8kWozrVSIGb4V13o0o,Hurricane,Kanye West,Donda,0.587,-6.569,0.0466,0.109,0.351,80.009
0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,Tokyo Drift (Fast & Furious),0.757,-5.321,0.178,0.0719,0.936,127.014
5GGEJhZ5xjbU7UhSlipuoq,Don't Change,Why Don't We,Don't Change,0.794,-4.935,0.206,0.103,0.237,106.053
17rZE0vrMNGkRAKJu3Qmk3,Overtime,Indie Inconvenience,Overtime,0.322,-11.158,0.293,0.296,0.156,78.134
6aGjEZ7kq3YXgD0EDt80O5,Live While We're Young,One Direction,Take Me Home: Yearbook Edition,0.658,-2.063,0.0629,0.0969,0.936,126.015
5v7ZDlIs3NppqALpTeWWHS,Cause I Don't Care When I'm with My Baby,Max Mazing,Cause I Don't Care When I'm with My Baby,0.808,-5.106,0.21,0.127,0.793,101.987
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),0.755,-2.718,0.0991,0.289,0.714,120.028
1tfVpMI8G6EakZU4rEja4w,Sing Me to Sleep,Alan Walker,Different World,0.474,-6.381,0.0129,0.327,0.158,176.062
4n7jnSxVLd8QioibtTDBDq,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,0.509,-4.929,0.0209,0.301,0.297,170.087
698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,Different World,0.468,-5.085,0.0281,0.11,0.159,179.642
0lks2Kt9veMOFEAPN0fsqN,Lily,"Alan Walker, K-391, Emelie Hollow",Different World,0.423,-5.877,0.196,0.189,0.467,150.978
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,Evolve,0.605,-4.833,0.00671,0.147,0.288,167.997
0puf9yIluy9W0vpMEUoAnN,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Sweet Talker (Deluxe Version),0.706,-3.417,0.26,0.38,0.751,150.028
3h4T9Bg8OVSUYa6danHeH5,Animals,Maroon 5,V (Asia Tour Edition),0.279,-6.46,0.000185,0.593,0.328,189.868
18A7ha5BitZjmdHTCwXFbU,Cradles,Sub Urban,Cradles,0.581,-1.87,0.27,0.179,0.63,67.443
3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),0.64,-6.596,0.119,0.0864,0.515,99.968
58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",Invasion of Privacy,0.816,-3.998,0.099,0.372,0.65,136.048
4zb3kFL9fXrrfTwIY4CcDy,Flux,Ellie Goulding,Flux,0.518,-5.903,0.834,0.203,0.302,93.024
6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,Kid Krow,0.628,-5.46,0.00162,0.354,0.493,108.045
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",reputation Stadium Tour Surprise Song Playlist,0.731,-8.418,0.0586,0.14,0.106,117.97
3AGOgQzp0YcPH41u9p7dOp,Glad You Came,The Wanted,The Wanted (Special Edition),0.61,-4.579,0.056,0.118,0.431,126.889
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),0.76,-5.574,0.556,0.0703,0.913,89.911
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,A Head Full of Dreams,0.491,-6.487,0.211,0.325,0.412,90.027
