,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
73,4w2Furap0ZzaiK4J14E9sR,Think U The Shit (Fart),0.967,-6.647,0.0403,0.0809,0.311,122.101
74,4367dXCt02KMgELPisJ2D4,HVN ON EARTH (with Kodak Black),0.736,-5.195,0.0724,0.136,0.201,132.024
75,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.645,-4.56,0.0377,0.384,0.142,146.01
76,35gu7pEQ2gOLUvskspCD3Y,Bachelor,0.805,-6.467,0.225,0.204,0.567,129.232
77,4EKfEZ89t2DzU41RbsyFC6,Big Dog (with Lil Wayne),0.646,-5.673,0.531,0.363,0.407,73.318
78,6odqveUIgvpWWvtANLcZpH,Red Moon,0.554,-4.176,0.115,0.119,0.455,162.032
79,6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,0.927,-4.441,0.0186,0.104,0.817,117.995
80,1xWkeSPhf3bZqHY7Ncz8vp,500lbs,0.731,-7.928,0.134,0.114,0.485,123.042
81,73f5rpLgydSRIvHzRLcJFF,Crazy,0.818,-8.167,0.0755,0.207,0.282,130.046
82,3kfhS2L56Wj8fBcu7xE47H,Turks & Caicos (feat. 21 Savage),0.544,-12.032,0.13,0.166,0.314,103.148
83,0oqnZWNBvobs1t181f45Ck,WHAT'S THE MOVE? (feat. Future and BabyDrill),0.525,-6.575,0.0332,0.378,0.148,144.382
84,2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),0.773,-5.06,0.0585,0.132,0.476,121.879
85,0zbGWzQkLY5wn4xyiLYEi0,Glizock & Wizop (feat. Key Glock),0.909,-7.483,0.0107,0.109,0.548,146.94
86,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0.569,-2.777,0.0316,0.142,0.201,148.038
87,0VJXWgw0GWsprapvlpbuyu,Okay,0.876,-9.223,0.0619,0.0904,0.346,123.007
88,2jmdxJ60YfV3fVemuLz7pD,Long Story Short (with Lil Wayne),0.842,-4.521,0.269,0.418,0.54,136.956
