artist_ids,artists,count,href,genre,image,popularity
4kYSro6naA4h99UJvo89HB,Cardi B,9,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",https://i.scdn.co/image/ab6761610000e5ebcb20fdd7386ecab9d34d0e71,78
7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,9,https://open.spotify.com/artist/7HCqGPJcQTyGJ2yqntbuyr,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb1dcbb331f2318db2dd2c6bcf,68
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,9,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'pop', 'viral pop']",https://i.scdn.co/image/ab6761610000e5eb26e8cb3ff6fc7744b312811b,78
04hYGGSjYtLekuuJXEGrIl,When Chai Met Toast,9,https://open.spotify.com/artist/04hYGGSjYtLekuuJXEGrIl,"['folk-pop', 'indian indie', 'malayalam indie']",https://i.scdn.co/image/ab6761610000e5eb0198afae925e87d931ec5f7c,45
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,8,https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb90b6c3d093f9b02aad628eaf,75
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,8,https://open.spotify.com/artist/4MXUO7sVCaFgFjoTI5ox5c,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",https://i.scdn.co/image/ab6761610000e5ebb80dd6b23c5c04d62d9aa0c6,70
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8,https://open.spotify.com/artist/5p7f24Rk5HkUZsaS3BLG5F,['pop'],https://i.scdn.co/image/ab6761610000e5eba961383967f3a3a54e794a15,68
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,8,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,84
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,8,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,88
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,8,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",https://i.scdn.co/image/ab6761610000e5eb45c3688488f871aace7a4a57,75
2qxJFvFYMEDqd7ui6kSAcq,Zedd,8,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",https://i.scdn.co/image/ab6761610000e5ebf801e3d9ecb568a1c3c62393,73
3e7awlrlDSwF3iM0WBjGMp,Little Mix,8,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,"['girl group', 'pop', 'talent show', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb08cd53940cbf5813ee5fe565,73
3cqeO3muWIW5uSmUDNCmyT,Rekha Bhardwaj,8,https://open.spotify.com/artist/3cqeO3muWIW5uSmUDNCmyT,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb1b8709e71a55317386d46e57,63
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,7,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,['pop'],https://i.scdn.co/image/ab6761610000e5ebdb68d678df6d89bf8a55d052,79
3TVXtAsR1Inumwj472S9r4,Drake,7,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,96
39fT56OHEL2E98zDKrqBsC,Nikhil D'Souza,7,https://open.spotify.com/artist/39fT56OHEL2E98zDKrqBsC,"['desi pop', 'indian indie', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebfd223c20cbc4fb2eef4d0697,57
04gDigrS5kc9YWfZHwBETP,Maroon 5,7,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,['pop'],https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,85
4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik,7,https://open.spotify.com/artist/4IKVDbCSBTxBeAsMKjAuTs,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebc5911f22814f270d5004ae53,72
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,7,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']",https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e,86
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,7,https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO,"['filmi', 'gujarati pop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eba038d7d87f8577bbb9686bd3,75
77BznF1Dr1k5KyEZ6Nn3jB,Vancouver Sleep Clinic,7,https://open.spotify.com/artist/77BznF1Dr1k5KyEZ6Nn3jB,['vapor pop'],https://i.scdn.co/image/ab6761610000e5eb79471c7506e3c12bd52cc616,61
0jnsk9HBra6NMjO2oANoPY,Flo Rida,7,https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",https://i.scdn.co/image/ab6761610000e5eb655ca8f3196953554b479452,79
6vWDO969PvNqNYHIOW5v0m,Beyoncé,6,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']",https://i.scdn.co/image/ab6761610000e5eb2b7962ada66cbea99dcb0caa,87
2k66ibJfgMigF5QWqUgLyR,OAFF,6,https://open.spotify.com/artist/2k66ibJfgMigF5QWqUgLyR,['indian indie'],https://i.scdn.co/image/ab6761610000e5eb7ad0e4ab865f24a17c0de9d7,54
4BxCuXFJrSWGi1KHcVqaU4,Kodaline,6,https://open.spotify.com/artist/4BxCuXFJrSWGi1KHcVqaU4,"['irish pop', 'modern rock']",https://i.scdn.co/image/ab6761610000e5eb0b99560e4162fe239ac6d3ba,68
