track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
6W5RmgWh46p9RQ4LDezHKE,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack","Hailee Steinfeld, ",Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),0.52,0.623,0.0711,0.327,0.0,0.127,0.278,148.228,3.0,1.0,hodgepodge.
07ipXN6CNTw34qwSYePKpg,Summer on You,"PRETTYMUCH, ",Summer on You,0.811,0.447,0.0414,0.636,0.0,0.462,0.694,99.995,4.0,1.0,hodgepodge.
71OvX5NNLrmz7rpq1ANTQn,Daddy Lessons,"Beyoncé, ",Lemonade,0.643,0.503,0.216,0.273,0.0,0.349,0.598,90.886,7.0,1.0,hodgepodge.
1IaYWv32nFFMdljBIjMY5T,Telephone,"Lady Gaga, Beyoncé, ",The Fame Monster,0.827,0.821,0.0419,0.00748,0.0015,0.115,0.684,122.017,3.0,1.0,hodgepodge.
1nZzRJbFvCEct3uzu04ZoL,Part Of Me,"Katy Perry, ",Teenage Dream: The Complete Confection,0.678,0.918,0.0355,0.000417,0.0,0.0744,0.769,130.028,5.0,1.0,hodgepodge.
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am, ",#3 Deluxe Version,0.421,0.873,0.0564,0.0654,0.0,0.123,0.629,84.786,10.0,1.0,hodgepodge.
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World, Christina Aguilera, ",Is There Anybody Out There?,0.407,0.147,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,2.0,1.0,hodgepodge.
5nCthAh3jt4xKuLJAifAaR,Harleys In Hawaii,"Katy Perry, ",Harleys In Hawaii,0.722,0.757,0.132,0.185,6.32e-06,0.126,0.721,140.094,10.0,0.0,hodgepodge.
0mqTcM8kuu2IYPotMt7AzS,Make You Feel My Love,"Adele, ",19,0.559,0.172,0.0291,0.907,0.000383,0.105,0.0955,77.025,10.0,1.0,hodgepodge.
4Psh3fEnAMftNPOTsAHPgG,cold/mess,"Prateek Kuhad, ",cold / mess,0.509,0.479,0.0262,0.285,0.0175,0.167,0.299,145.967,11.0,1.0,hodgepodge.
43E8vmMDsNH4IL8HReR6JH,Bullet,"Ann Marr, ",Bullet,0.573,0.593,0.0266,0.0752,0.308,0.222,0.091,149.897,0.0,0.0,hodgepodge.
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,"James Arthur, ",Back from the Edge,0.696,0.543,0.0489,0.308,0.0,0.0939,0.479,107.969,11.0,1.0,hodgepodge.
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"Mike Perry, shy martin, ",The Ocean (feat. Shy Martin),0.632,0.575,0.029,0.0225,1.81e-06,0.104,0.188,90.037,5.0,1.0,hodgepodge.
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels, ",If the World Was Ending (feat. Julia Michaels),0.464,0.473,0.129,0.866,0.0,0.109,0.604,75.801,1.0,1.0,hodgepodge.
0EAzlhtMYxRb6wbi6KnPjC,The Other,"Lauv, ",I met you when I was 18. (the playlist),0.38,0.553,0.0653,0.421,2.63e-06,0.0788,0.384,179.629,7.0,1.0,hodgepodge.
5qrSlOut2rNAWv3ubArkNy,Be Alright,"Dean Lewis, ",A Place We Knew,0.551,0.537,0.034,0.705,0.0,0.0802,0.493,126.421,11.0,1.0,hodgepodge.
5CpvcmX1Wnc6FG5hP21DkZ,Never Enough,"Travis Atreo, ",Never Enough,0.469,0.242,0.0463,0.885,5.17e-06,0.118,0.373,130.694,4.0,1.0,hodgepodge.
3JOVTQ5h8HGFnDdp4VT3MP,Mad World,"Gary Jules, Michael Andrews, ",Trading Snakeoil for Wolftickets,0.344,0.0585,0.0373,0.976,0.000362,0.103,0.323,174.149,3.0,1.0,hodgepodge.
6GzApXoBQiiAjak3tOQfV3,Lie To Me (feat. Julia Michaels),"5 Seconds of Summer, Julia Michaels, ",Lie To Me (feat. Julia Michaels),0.611,0.52,0.0346,0.0132,0.0,0.105,0.771,159.927,0.0,1.0,hodgepodge.
