track_id,track_name,artists,album,valence
2fbJ5Msx8KoDKpyufH5YsU,I'll Never Love Again - Extended Version,Lady Gaga,A Star Is Born Soundtrack,0.202
6yaHCAtl9kA0K3FMumR2ph,Heart Like Yours,Willamette Stone,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,0.338
2cbic3TiUENlJX91y67ARR,Skinny Love,Bon Iver,"For Emma, Forever Ago",0.109
23TL1H9YRub4jpMs552fak,Hocus Pocus,Clark Beckham,Year One,0.37
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,0.182
4fbvXwMTXPWaFyaMWUm9CR,Holocene,Bon Iver,Bon Iver,0.147
4jR3wsCozVviDetIeB9OP6,"This Guy's In Love with You (From ""Sea of Love"")",Bobby Vinton,Collections,0.328
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,0.343
0wBS0cVvsderMUaLLTbGv6,Hey Jude - Remastered,The Beatles,The Beatles 1967 - 1970 (Remastered),0.668
7f9I5WdyXm5q1XqnSYgQZb,Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,0.463
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,Savage Garden,Savage Garden,0.816
71iSmEeF0qRVyULABxP75P,Shake It Out,Florence + The Machine,Ceremonials (Original Deluxe Version),0.226
4CxFN5zON70B3VOPBYbd6P,you were good to me,"Jeremy Zucker, Chelsea Cutler",brent,0.206
244AvzGQ4Ksa5637JQu5Gy,You've Got The Love,Florence + The Machine,Lungs (Deluxe Version),0.401
2WU4ET9r25IVZGQkWOM2UL,Human - Acoustic,Jon Bellion,Human (Acoustic),0.324
552vJkyV7hQmPSjmgwPa5Z,100 words,Prateek Kuhad,cold / mess,0.58
3ZOD3aghbxBkgKsLu2jOEK,These Memories,Hollow Coves,Wanderlust,0.392
3wJmcmAh2YAfDSKQR8o1XS,In Your Arms,Chef'Special,Passing Through,0.362
3uaUaKlHgE9uDZtYyJDEKO,Aasman Ki Dukaan,Swarathma,Raah-e-Fakira,0.231
2Gl0FzuLxflY6nPifJp5Dr,First Time,"Kygo, Ellie Goulding",First Time,0.679
18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,"summer,",0.608
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),0.348
1almCHdsfikRPfVB9VrEdT,Little Do You Know,Alex & Sierra,It's About Us,0.37
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.562
09IStsImFySgyp0pIQdqAc,The Middle,"Zedd, Maren Morris, Grey",The Middle,0.437
1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,+,0.407
0HOVwkHQmGlVfwb8OQflEC,with you/for you,Prateek Kuhad,cold / mess,0.322
3TaoFBplKZB4AclYV2cDwT,Firefly,When Chai Met Toast,Joy of Little Things,0.391
1pV9TLnQdOHbvourRO7x4m,comethru (bonus track),Jeremy Zucker,love is not dying,0.611
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,0.389
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",No Promises (feat. Demi Lovato),0.595
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),0.498
4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,Sufjan Stevens,Carrie & Lowell,0.383
27r2uANqwK7XbsiAZnzf9e,One Day,Tate McRae,One Day,0.355
7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,Tove Lo,Queen Of The Clouds,0.114
4fa1TicRIFloaEVUubYfTV,Heart Attack,One Direction,Take Me Home (Expanded Edition),0.652
3tYI3GE47dvrqCvmrh1KYQ,Myself,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),0.257
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),"Eminem, Joyner Lucas",Kamikaze,0.575
5ZtfujhQIVRZm2RMZPQ3iD,Only You,Selena Gomez,13 Reasons Why (A Netflix Original Series Soundtrack),0.218
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),0.12
1gV0hgMNdpSWeW7ZjSUKnX,Afterhours feat. Diplo & Nina Sky,"TroyBoi, Diplo, Nina Sky",Afterhours feat. Diplo & Nina Sky,0.357
2iptAVf9jZerlywLwiGhak,Fallen Angel,Three Days Grace,Human,0.218
1lusH0zFDRV1ThaFYsUgfi,Affection,Cigarettes After Sex,Affection,0.251
3SZLtkoHoECHHuOnNkNCuS,All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,0.24
7MXlRIl901aXfJ2oSGn0E2,Into The Black,Chromatics,Kill For Love,0.128
5k6ioThKIxeklkIt3MNJjC,Balenciaga,Cheat Codes,Balenciaga,0.241
58QhkbaAkLFnn7JwAnAato,Fall,Eminem,Kamikaze,0.535
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,0.333
6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,Gold,0.408
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,0.398
